Computer*Path
W10MN-1*OU=Equipos-Direccion,OU=Direccion,OU=Departamentos,DC=marenostrum,DC=mylocal
W10MN-2*OU=Equipos-Direccion,OU=Direccion,OU=Departamentos,DC=marenostrum,DC=mylocal
W10MN-3*OU=Equipos-Logistica,OU=Logistica,OU=Departamentos,DC=marenostrum,DC=mylocal
W10MN-4*OU=Equipos-Logistica,OU=Logistica,OU=Departamentos,DC=marenostrum,DC=mylocal
W10MN-5*OU=Equipos-Logistica,OU=Logistica,OU=Departamentos,DC=marenostrum,DC=mylocal
W10MN-6*OU=Equipos-Logistica,OU=Logistica,OU=Departamentos,DC=marenostrum,DC=mylocal
W10MN-7*OU=Equipos-Logistica,OU=Logistica,OU=Departamentos,DC=marenostrum,DC=mylocal
W10MN-8*OU=Equipos-Logistica,OU=Logistica,OU=Departamentos,DC=marenostrum,DC=mylocal
W10MN-9*OU=Equipos-Logistica,OU=Logistica,OU=Departamentos,DC=marenostrum,DC=mylocal
W10MN-10*OU=Equipos-Logistica,OU=Logistica,OU=Departamentos,DC=marenostrum,DC=mylocal
W11MN-1*OU=Equipos-Seguridad,OU=Seguridad,OU=Departamentos,DC=marenostrum,DC=mylocal
W11MN-2*OU=Equipos-Seguridad,OU=Seguridad,OU=Departamentos,DC=marenostrum,DC=mylocal
W11MN-3*OU=Equipos-Seguridad,OU=Seguridad,OU=Departamentos,DC=marenostrum,DC=mylocal
W11MN-4*OU=Equipos-Seguridad,OU=Seguridad,OU=Departamentos,DC=marenostrum,DC=mylocal
W11MN-5*OU=Equipos-Seguridad,OU=Seguridad,OU=Departamentos,DC=marenostrum,DC=mylocal
W11MN-6*OU=Equipos-Seguridad,OU=Seguridad,OU=Departamentos,DC=marenostrum,DC=mylocal
W11MN-7*OU=Equipos-Seguridad,OU=Seguridad,OU=Departamentos,DC=marenostrum,DC=mylocal
W11MN-8*OU=Equipos-Seguridad,OU=Seguridad,OU=Departamentos,DC=marenostrum,DC=mylocal
UDMN-1*OU=Equipos-Investigacion,OU=Investigacion,OU=Departamentos,DC=marenostrum,DC=mylocal
UDMN-2*OU=Equipos-Investigacion,OU=Investigacion,OU=Departamentos,DC=marenostrum,DC=mylocal
UDMN-3*OU=Equipos-Investigacion,OU=Investigacion,OU=Departamentos,DC=marenostrum,DC=mylocal
UDMN-4*OU=Equipos-Investigacion,OU=Investigacion,OU=Departamentos,DC=marenostrum,DC=mylocal
UDMN-5*OU=Equipos-Investigacion,OU=Investigacion,OU=Departamentos,DC=marenostrum,DC=mylocal
UDMN-6*OU=Equipos-Investigacion,OU=Investigacion,OU=Departamentos,DC=marenostrum,DC=mylocal
